name,state,county_seat
CAMP,TX,
CAMPBELL,SD,
CAMPBELL,TN,
CAMPBELL,WY,
CAMPBELL,KY,
CAMPBELL,VA,
CANADIAN,OK,
CANDLER,GA,
CANNON,TN,
CANYON,ID,
CAPE GIRARDEAU,MO,
CAPE MAY,NJ,
CARBON,MT,
CARBON,UT,
CARBON,WY,
CARBON,PA,
CARIBOU,ID,
CARLISLE,KY,
CARLTON,MN,
CAROLINE,MD,
CAROLINE,VA,
CARROLL,NH,
CARROLL,AR,
CARROLL,GA,
CARROLL,TN,
CARROLL,MD,
CARROLL,OH,
CARROLL,IL,
CARROLL,IN,
CARROLL,MS,
CARROLL,MO,
CARROLL,IA,
CARROLL,KY,
CARROLL,VA,
CARSON,TX,
CARSON CITY,NV,
CARTER,MT,
CARTER,TN,
CARTER,MO,
CARTER,OK,
CARTER,KY,
CARTERET,NC,
CARVER,MN,
CASCADE,MT,
CASEY,KY,
CASS,TX,
CASS,MI,
CASS,MN,
CASS,NE,
CASS,IL,
CASS,IN,
CASS,ND,
CASS,MO,
CASS,IA,
CASSIA,ID,
CASTRO,TX,
CASWELL,NC,
CATAHOULA,LA,
CATAWBA,NC,
CATOOSA,GA,
CATRON,NM,
CATTARAUGUS,NY,
CAVALIER,ND,
CAYUGA,NY,
CECIL,MD,
CEDAR,NE,
CEDAR,MO,
CEDAR,IA,
CENTRE,PA,
CERRO GORDO,IA,
CHAFFEE,CO,
CHAMBERS,AL,
CHAMBERS,TX,
CHAMPAIGN,OH,
CHAMPAIGN,IL,
CHARITON,MO,
CHARLES,MD,
CHARLES CITY,VA,
CHARLES MIX,SD,
CHARLESTON,SC,
CHARLEVOIX,MI,
CHARLOTTE,FL,
CHARLOTTE,VA,
CHARLOTTESVILLE CITY,VA,
CHARLTON,GA,
CHASE,KS,
CHASE,NE,
CHATHAM,GA,
CHATHAM,NC,
CHATTAHOOCHEE,GA,
CHATTOOGA,GA,
CHAUTAUQUA,KS,
CHAUTAUQUA,NY,
CHAVES,NM,
CHEATHAM,TN,
CHEBOYGAN,MI,
CHELAN,WA,
CHEMUNG,NY,
CHENANGO,NY,
CHEROKEE,AL,
CHEROKEE,GA,
CHEROKEE,TX,
CHEROKEE,KS,
CHEROKEE,NC,
CHEROKEE,OK,
CHEROKEE,IA,
CHEROKEE,SC,
CHERRY,NE,
CHESAPEAKE CITY,VA,
CHESHIRE,NH,
CHESTER,TN,
CHESTER,PA,
CHESTER,SC,
CHESTERFIELD,VA,
CHESTERFIELD,SC,
CHEYENNE,KS,
CHEYENNE,NE,
CHEYENNE,CO,
CHICKASAW,MS,
CHICKASAW,IA,
CHICOT,AR,
CHILDRESS,TX,
CHILTON,AL,
CHIPPEWA,MI,
CHIPPEWA,MN,
CHIPPEWA,WI,
CHISAGO,MN,
CHITTENDEN,VT,
CHOCTAW,AL,
CHOCTAW,MS,
CHOCTAW,OK,
CHOUTEAU,MT,
CHOWAN,NC,
CHRISTIAN,IL,
CHRISTIAN,MO,
CHRISTIAN,KY,
CHURCHILL,NV,
CIBOLA,NM,
CIMARRON,OK,
CITRUS,FL,
CLACKAMAS,OR,
CLAIBORNE,TN,
CLAIBORNE,MS,
CLAIBORNE,LA,
CLALLAM,WA,
CLARE,MI,
CLARENDON,SC,
CLARION,PA,
CLARK,NV,
CLARK,SD,
CLARK,AR,
CLARK,KS,
CLARK,OH,
CLARK,IL,
CLARK,WI,
CLARK,IN,
CLARK,WA,
CLARK,MO,
CLARK,KY,
CLARK,ID,
CLARKE,AL,
CLARKE,GA,
CLARKE,MS,
CLARKE,IA,
CLARKE,VA,
CLATSOP,OR,
CLAY,WV,
CLAY,AL,
CLAY,SD,
CLAY,AR,
CLAY,GA,
CLAY,TX,
CLAY,TN,
CLAY,KS,
CLAY,NC,
CLAY,FL,
CLAY,MN,
CLAY,NE,
CLAY,IL,
CLAY,IN,
CLAY,MS,
CLAY,MO,
CLAY,IA,
CLAY,KY,
CLAYTON,GA,
CLAYTON,IA,
CLEAR CREEK,CO,
CLEARFIELD,PA,
CLEARWATER,MN,
CLEARWATER,ID,
CLEBURNE,AL,
CLEBURNE,AR,
CLERMONT,OH,
CLEVELAND,AR,
CLEVELAND,NC,
CLEVELAND,OK,
CLIFTON FORGE CITY,VA,
CLINCH,GA,
CLINTON,MI,
CLINTON,NY,
CLINTON,PA,
CLINTON,OH,
CLINTON,IL,
CLINTON,IN,
CLINTON,MO,
CLINTON,IA,
CLINTON,KY,
CLOUD,KS,
COAHOMA,MS,
COAL,OK,
COBB,GA,
COCHISE,AZ,
COCHRAN,TX,
COCKE,TN,
COCONINO,AZ,
CODINGTON,SD,
COFFEE,AL,
COFFEE,GA,
COFFEE,TN,
COFFEY,KS,
COKE,TX,
COLBERT,AL,
COLE,MO,
COLEMAN,TX,
COLES,IL,
COLFAX,NM,
COLFAX,NE,
COLLETON,SC,
COLLIER,FL,
COLLIN,TX,
COLLINGSWORTH,TX,
COLONIAL HEIGHTS CITY,VA,
COLORADO,TX,
COLQUITT,GA,
COLUMBIA,OR,
COLUMBIA,AR,
COLUMBIA,GA,
COLUMBIA,NY,
COLUMBIA,FL,
COLUMBIA,PA,
COLUMBIA,WI,
COLUMBIA,WA,
COLUMBIANA,OH,
COLUMBUS,NC,
COLUSA,CA,
COMAL,TX,
COMANCHE,TX,
COMANCHE,KS,
COMANCHE,OK,
CONCHO,TX,
CONCORDIA,LA,
CONECUH,AL,
CONEJOS,CO,
CONTRA COSTA,CA,
CONVERSE,WY,
CONWAY,AR,
COOK,GA,
COOK,MN,
COOK,IL,
COOKE,TX,
COOPER,MO,
COOS,NH,
COOS,OR,
COOSA,AL,
COPIAH,MS,
CORSON,SD,
CORTLAND,NY,
CORYELL,TX,
COSHOCTON,OH,
COSTILLA,CO,
COTTLE,TX,
COTTON,OK,
COTTONWOOD,MN,
COVINGTON,AL,
COVINGTON,MS,
COVINGTON CITY,VA,
COWETA,GA,
COWLEY,KS,
COWLITZ,WA,
CRAIG,OK,
CRAIG,VA,
CRAIGHEAD,AR,
CRANE,TX,
CRAVEN,NC,
CRAWFORD,AR,
CRAWFORD,GA,
CRAWFORD,KS,
CRAWFORD,MI,
CRAWFORD,PA,
CRAWFORD,OH,
CRAWFORD,IL,
CRAWFORD,WI,
CRAWFORD,IN,
CRAWFORD,MO,
CRAWFORD,IA,
CREEK,OK,
CRENSHAW,AL,
CRISP,GA,
CRITTENDEN,AR,
CRITTENDEN,KY,
CROCKETT,TX,
CROCKETT,TN,
CROOK,OR,
CROOK,WY,
CROSBY,TX,
CROSS,AR,
CROW WING,MN,
CROWLEY,CO,
CULBERSON,TX,
CULLMAN,AL,
CULPEPER,VA,
CUMBERLAND,NJ,
CUMBERLAND,ME,
CUMBERLAND,TN,
CUMBERLAND,NC,
CUMBERLAND,PA,
CUMBERLAND,IL,
CUMBERLAND,KY,
CUMBERLAND,VA,
CUMING,NE,
CURRITUCK,NC,
CURRY,NM,
CURRY,OR,
CUSTER,MT,
CUSTER,SD,
CUSTER,NE,
CUSTER,CO,
CUSTER,OK,
CUSTER,ID,
CUYAHOGA,OH,
DADE,GA,
DADE,MO,
DAGGETT,UT,
DAKOTA,MN,
DAKOTA,NE,
DALE,AL,
DALLAM,TX,
DALLAS,AL,
DALLAS,AR,
DALLAS,TX,
DALLAS,MO,
DALLAS,IA,
DANE,WI,
DANIELS,MT,
DANVILLE CITY,VA,
DARE,NC,
DARKE,OH,
DARLINGTON,SC,
DAUPHIN,PA,
DAVIDSON,TN,
DAVIDSON,NC,
DAVIE,NC,
DAVIESS,IN,
DAVIESS,MO,
DAVIESS,KY,
DAVIS,UT,
DAVIS,IA,
DAVISON,SD,
DAWES,NE,
DAWSON,MT,
DAWSON,GA,
DAWSON,TX,
DAWSON,NE,
DAY,SD,
DE BACA,NM,
DE KALB,AL,
DE KALB,IL,
DE KALB,IN,
DE SOTO,FL,
DE SOTO,MS,
DE SOTO,LA,
DE WITT,TX,
DEAF SMITH,TX,
DEARBORN,IN,
DECATUR,GA,
DECATUR,TN,
DECATUR,KS,
DECATUR,IN,
DECATUR,IA,
DEER LODGE,MT,
DEFIANCE,OH,
DEKALB,GA,
DEKALB,TN,
DEKALB,MO,
DEL NORTE,CA,
DELAWARE,NY,
DELAWARE,PA,
DELAWARE,OH,
DELAWARE,IN,
DELAWARE,OK,
DELAWARE,IA,
DELTA,TX,
DELTA,MI,
DELTA,CO,
DENALI,AK,
DENT,MO,
DENTON,TX,
DENVER,CO,
DES MOINES,IA,
DESCHUTES,OR,
DESHA,AR,
DEUEL,SD,
DEUEL,NE,
DEWEY,SD,
DEWEY,OK,
DEWITT,IL,
DICKENS,TX,
DICKENSON,VA,
DICKEY,ND,
DICKINSON,KS,
DICKINSON,MI,
DICKINSON,IA,
DICKSON,TN,
DILLINGHAM,AK,
DILLON,SC,
DIMMIT,TX,
DINWIDDIE,VA,
DISTRICT OF COLUMBIA,DC,
DIVIDE,ND,
DIXIE,FL,
DIXON,NE,
DODDRIDGE,WV,
DODGE,GA,
DODGE,MN,
DODGE,NE,
DODGE,WI,
DOLORES,CO,
DONA ANA,NM,
DONIPHAN,KS,
DONLEY,TX,
DOOLY,GA,
DOOR,WI,
DORCHESTER,MD,
DORCHESTER,SC,
DOUGHERTY,GA,
DOUGLAS,NV,
DOUGLAS,OR,
DOUGLAS,SD,
DOUGLAS,GA,
DOUGLAS,KS,
DOUGLAS,MN,
DOUGLAS,NE,
DOUGLAS,CO,
DOUGLAS,IL,
DOUGLAS,WI,
DOUGLAS,WA,
DOUGLAS,MO,
DREW,AR,
DU PAGE,IL,
DUBOIS,IN,
DUBUQUE,IA,
DUCHESNE,UT,
DUKES,MA,
DUNDY,NE,
DUNKLIN,MO,
DUNN,WI,
DUNN,ND,
DUPLIN,NC,
DURHAM,NC,
DUTCHESS,NY,
DUVAL,TX,
DUVAL,FL,
DYER,TN,
EAGLE,CO,
EARLY,GA,
EAST BATON ROUGE,LA,
EAST CARROLL,LA,
EAST FELICIANA,LA,
EASTLAND,TX,
EATON,MI,
EAU CLAIRE,WI,
ECHOLS,GA,
ECTOR,TX,
EDDY,NM,
EDDY,ND,
EDGAR,IL,
EDGECOMBE,NC,
EDGEFIELD,SC,
EDMONSON,KY,
EDMUNDS,SD,
EDWARDS,TX,
EDWARDS,KS,
EDWARDS,IL,
EFFINGHAM,GA,
EFFINGHAM,IL,
EL DORADO,CA,
EL PASO,TX,
EL PASO,CO,
ELBERT,GA,
ELBERT,CO,
ELK,KS,
ELK,PA,
ELKHART,IN,
ELKO,NV,
ELLIOTT,KY,
ELLIS,TX,
ELLIS,KS,
ELLIS,OK,
ELLSWORTH,KS,
ELMORE,AL,
ELMORE,ID,
EMANUEL,GA,
EMERY,UT,
EMMET,MI,
EMMET,IA,
EMMONS,ND,
EMPORIA CITY,VA,
ERATH,TX,
ERIE,NY,
ERIE,PA,
ERIE,OH,
ESCAMBIA,AL,
ESCAMBIA,FL,
ESMERALDA,NV,
ESSEX,MA,
ESSEX,NJ,
ESSEX,NY,
ESSEX,VT,
ESSEX,VA,
ESTILL,KY,
ETOWAH,AL,
EUREKA,NV,
EVANGELINE,LA,
EVANS,GA,
FAIRBANKS NORTH STAR,AK,
FAIRFAX,VA,
FAIRFAX CITY,VA,
FAIRFIELD,CT,
FAIRFIELD,OH,
FAIRFIELD,SC,
FALL RIVER,SD,
FALLON,MT,
FALLS,TX,
FALLS CHURCH CITY,VA,
FANNIN,GA,
FANNIN,TX,
FARIBAULT,MN,
FAULK,SD,
FAULKNER,AR,
FAUQUIER,VA,
FAYETTE,WV,
FAYETTE,AL,
FAYETTE,GA,
FAYETTE,TX,
FAYETTE,TN,
FAYETTE,PA,
FAYETTE,OH,
FAYETTE,IL,
FAYETTE,IN,
FAYETTE,IA,
FAYETTE,KY,
FENTRESS,TN,
FERGUS,MT,
FERRY,WA,
FILLMORE,MN,
FILLMORE,NE,
FINNEY,KS,
FISHER,TX,
FLAGLER,FL,
FLATHEAD,MT,
FLEMING,KY,
FLORENCE,WI,
FLORENCE,SC,
FLOYD,GA,
FLOYD,TX,
FLOYD,IN,
FLOYD,IA,
FLOYD,KY,
FLOYD,VA,
FLUVANNA,VA,
FOARD,TX,
FOND DU LAC,WI,
FORD,KS,
FORD,IL,
FOREST,PA,
FOREST,WI,
FORREST,MS,
FORSYTH,GA,
FORSYTH,NC,
FORT BEND,TX,
FOSTER,ND,
FOUNTAIN,IN,
FRANKLIN,MA,
FRANKLIN,AL,
FRANKLIN,AR,
FRANKLIN,GA,
FRANKLIN,ME,
FRANKLIN,TX,
FRANKLIN,TN,
FRANKLIN,KS,
FRANKLIN,NY,
FRANKLIN,NC,
FRANKLIN,FL,
FRANKLIN,VT,
FRANKLIN,PA,
FRANKLIN,OH,
FRANKLIN,NE,
FRANKLIN,IL,
FRANKLIN,IN,
FRANKLIN,WA,
FRANKLIN,MS,
FRANKLIN,MO,
FRANKLIN,IA,
FRANKLIN,KY,
FRANKLIN,ID,
FRANKLIN,VA,
FRANKLIN,LA,
FRANKLIN CITY,VA,
FREDERICK,MD,
FREDERICK,VA,
FREDERICKSBURG CITY,VA,
FREEBORN,MN,
FREESTONE,TX,
FREMONT,WY,
FREMONT,CO,
FREMONT,IA,
FREMONT,ID,
FRESNO,CA,
FRIO,TX,
FRONTIER,NE,
FULTON,AR,
FULTON,GA,
FULTON,NY,
FULTON,PA,
FULTON,OH,
FULTON,IL,
FULTON,IN,
FULTON,KY,
FURNAS,NE,
GADSDEN,FL,
GAGE,NE,
GAINES,TX,
GALAX CITY,VA,
GALLATIN,MT,
GALLATIN,IL,
GALLATIN,KY,
GALLIA,OH,
GALVESTON,TX,
GARDEN,NE,
GARFIELD,MT,
GARFIELD,UT,
GARFIELD,NE,
GARFIELD,CO,
GARFIELD,WA,
GARFIELD,OK,
GARLAND,AR,
GARRARD,KY,
GARRETT,MD,
GARVIN,OK,
GARZA,TX,
GASCONADE,MO,
GASTON,NC,
GATES,NC,
GEARY,KS,
GEAUGA,OH,
GEM,ID,
GENESEE,MI,
GENESEE,NY,
GENEVA,AL,
GENTRY,MO,
GEORGE,MS,
GEORGETOWN,SC,
GIBSON,TN,
GIBSON,IN,
GILA,AZ,
GILCHRIST,FL,
GILES,TN,
GILES,VA,
GILLESPIE,TX,
GILLIAM,OR,
GILMER,WV,
GILMER,GA,
GILPIN,CO,
GLACIER,MT,
GLADES,FL,
GLADWIN,MI,
GLASCOCK,GA,
GLASSCOCK,TX,
GLENN,CA,
GLOUCESTER,NJ,
GLOUCESTER,VA,
GLYNN,GA,
GOGEBIC,MI,
GOLDEN VALLEY,MT,
GOLDEN VALLEY,ND,
GOLIAD,TX,
GONZALES,TX,
GOOCHLAND,VA,
GOODHUE,MN,
GOODING,ID,
GORDON,GA,
GOSHEN,WY,
GOSPER,NE,
GOVE,KS,
GRADY,GA,
GRADY,OK,
GRAFTON,NH,
GRAHAM,AZ,
GRAHAM,KS,
GRAHAM,NC,
GRAINGER,TN,
GRAND,UT,
GRAND,CO,
GRAND FORKS,ND,
GRAND ISLE,VT,
GRAND TRAVERSE,MI,
GRANITE,MT,
GRANT,NM,
GRANT,WV,
GRANT,OR,
GRANT,SD,
GRANT,AR,
GRANT,KS,
GRANT,MN,
GRANT,NE,
GRANT,WI,
GRANT,IN,
GRANT,WA,
GRANT,ND,
GRANT,OK,
GRANT,KY,
GRANT,LA,
GRANVILLE,NC,
GRATIOT,MI,
GRAVES,KY,
GRAY,TX,
GRAY,KS,
GRAYS HARBOR,WA,
GRAYSON,TX,
GRAYSON,KY,
GRAYSON,VA,
GREELEY,KS,
GREELEY,NE,
GREEN,WI,
GREEN,KY,
GREEN LAKE,WI,
GREENBRIER,WV,
GREENE,AL,
GREENE,AR,
GREENE,GA,
GREENE,TN,
GREENE,NY,
GREENE,NC,
GREENE,PA,
GREENE,OH,
GREENE,IL,
GREENE,IN,
GREENE,MS,
GREENE,MO,
GREENE,IA,
GREENE,VA,
GREENLEE,AZ,
GREENSVILLE,VA,
GREENUP,KY,
GREENVILLE,SC,
GREENWOOD,KS,
GREENWOOD,SC,
GREER,OK,
GREGG,TX,
GREGORY,SD,
GRENADA,MS,
GRIGGS,ND,
GRIMES,TX,
GRUNDY,TN,
GRUNDY,IL,
GRUNDY,MO,
GRUNDY,IA,
GUADALUPE,NM,
GUADALUPE,TX,
GUERNSEY,OH,
GUILFORD,NC,
GULF,FL,
GUNNISON,CO,
GUTHRIE,IA,
GWINNETT,GA,
HAAKON,SD,
HABERSHAM,GA,
HAINES,AK,
HALE,AL,
HALE,TX,
HALIFAX,NC,
HALIFAX,VA,
HALL,GA,
HALL,TX,
HALL,NE,
HAMBLEN,TN,
HAMILTON,TX,
HAMILTON,TN,
HAMILTON,KS,
HAMILTON,NY,
HAMILTON,FL,
HAMILTON,OH,
HAMILTON,NE,
HAMILTON,IL,
HAMILTON,IN,
HAMILTON,IA,
HAMLIN,SD,
HAMPDEN,MA,
HAMPSHIRE,MA,
HAMPSHIRE,WV,
HAMPTON,SC,
HAMPTON CITY,VA,
HANCOCK,WV,
HANCOCK,GA,
HANCOCK,ME,
HANCOCK,TN,
HANCOCK,OH,
HANCOCK,IL,
HANCOCK,IN,
HANCOCK,MS,
HANCOCK,IA,
HANCOCK,KY,
HAND,SD,
HANOVER,VA,
HANSFORD,TX,
HANSON,SD,
HARALSON,GA,
HARDEE,FL,
HARDEMAN,TX,
HARDEMAN,TN,
HARDIN,TX,
HARDIN,TN,
HARDIN,OH,
HARDIN,IL,
HARDIN,IA,
HARDIN,KY,
HARDING,NM,
HARDING,SD,
HARDY,WV,
HARFORD,MD,
HARLAN,NE,
HARLAN,KY,
HARMON,OK,
HARNETT,NC,
HARNEY,OR,
HARPER,KS,
HARPER,OK,
HARRIS,GA,
HARRIS,TX,
HARRISON,WV,
HARRISON,TX,
HARRISON,OH,
HARRISON,IN,
HARRISON,MS,
HARRISON,MO,
HARRISON,IA,
HARRISON,KY,
HARRISONBURG CITY,VA,
HART,GA,
HART,KY,
HARTFORD,CT,
HARTLEY,TX,
HARVEY,KS,
HASKELL,TX,
HASKELL,KS,
HASKELL,OK,
HAWAII,HI,
HAWKINS,TN,
HAYES,NE,
HAYS,TX,
HAYWOOD,TN,
HAYWOOD,NC,
HEARD,GA,
HEMPHILL,TX,
HEMPSTEAD,AR,
HENDERSON,TX,
HENDERSON,TN,
HENDERSON,NC,
HENDERSON,IL,
HENDERSON,KY,
HENDRICKS,IN,
HENDRY,FL,
HENNEPIN,MN,
HENRICO,VA,
HENRY,AL,
HENRY,GA,
HENRY,TN,
HENRY,OH,
HENRY,IL,
HENRY,IN,
HENRY,MO,
HENRY,IA,
HENRY,KY,
HENRY,VA,
HERKIMER,NY,
HERNANDO,FL,
HERTFORD,NC,
HETTINGER,ND,
HICKMAN,TN,
HICKMAN,KY,
HICKORY,MO,
HIDALGO,NM,
HIDALGO,TX,
HIGHLAND,OH,
HIGHLAND,VA,
HIGHLANDS,FL,
HILL,MT,
HILL,TX,
HILLSBOROUGH,NH,
HILLSBOROUGH,FL,
HILLSDALE,MI,
HINDS,MS,
HINSDALE,CO,
HITCHCOCK,NE,
HOCKING,OH,
HOCKLEY,TX,
HODGEMAN,KS,
HOKE,NC,
HOLMES,FL,
HOLMES,OH,
HOLMES,MS,
HOLT,NE,
HOLT,MO,
HONOLULU,HI,
HOOD,TX,
HOOD RIVER,OR,
HOOKER,NE,
HOPEWELL CITY,VA,
HOPKINS,TX,
HOPKINS,KY,
HORRY,SC,
HOT SPRING,AR,
HOT SPRINGS,WY,
HOUGHTON,MI,
HOUSTON,AL,
HOUSTON,GA,
HOUSTON,TX,
HOUSTON,TN,
HOUSTON,MN,
HOWARD,AR,
HOWARD,TX,
HOWARD,MD,
HOWARD,NE,
HOWARD,IN,
HOWARD,MO,
HOWARD,IA,
